,Mirc56_01,Mirc56_02,Mirc56_03,Mirc56_04,Mirc56_05,Mirc56_06,Mirc56_07,Mirc56_08,Mirc56_09,Mirc56_10,Mirc56_11,Mirc56_12,Mirc56_13,Mirc56_14,Mirc56_15,Mirc56_16,Mirc56_17
PB_single2_001,0.001046224,0,0.000190223,0.492771543,0.844778391,0.000475556,0.000570668,0.00076089,0.518927145,0.002377782,0.52006848,0.000951113,0.000190223,1,0.001046224,0.517500476,0.002758227
PB_single2_002,0.424077105,0.000181851,0.389707219,0.000181851,0.765593744,0.460447354,0.491180215,0.789416258,0.145844699,0.525186398,0.274231678,0.400254592,0.750863793,0.245681033,0.272776869,0.170940171,1
PB_single2_004,0.00252259,7.53E-05,0.000225904,3.77E-05,1,0.000150602,0.000301205,7.53E-05,7.53E-05,0.000338855,0.011182229,0.000225904,7.53E-05,0.000225904,0.000715361,0.000414157,0.487161145
PB_single2_006,0.007849294,0,0.667903525,0.000285429,0.005280434,0.426430712,0.833309548,0.000999001,0.000999001,0.965034965,0.743970315,0.000570858,0.001141715,0.724703868,1,0.00256886,0.676609105
PB_single2_007,0.002517036,0,0.002271472,0,0.00110504,0.004174596,0.000306956,0.005832157,0.00380625,1,0.01203266,0.000184173,0.004420161,0.340904905,0.901712812,0.007305544,0.012462398
PB_single2_008,0.177380595,0.183088014,0.205617302,0.000450586,0.392610394,0.194352658,0.394112346,0.850105137,1,0.414088315,0.402823671,0.115950736,0.2689997,0.001051367,0.810153199,0.185641334,0.894562932
PB_single2_009,1,0,0.000989936,0.418137821,0.236429632,0.213771105,0.246383985,0.175438596,0.000109993,0.001814882,0.003464775,0.000439971,0.73508222,0.000329979,0.001374911,0.135511192,0.00384975
PB_single2_011,0.004352501,0,0.277023913,0.000204824,0.324082134,0.000716883,0.000153618,0.000768088,0.313431307,0.162783553,0.004096472,0.000153618,0.0008705,0,0.000665677,0.365917354,1
PB_single2_012,0.007361454,0,0.000276487,5.18E-05,0.000449291,0.000138243,8.64E-05,0.001572517,6.91E-05,0.000207365,0.001382433,0.000155524,0.000241926,1.73E-05,0.000190085,0.000587534,1
PB_single2_015,0.005916934,0,0.000687128,0.000114521,0.000725302,0.000114521,0.000152695,0.000648954,0.000267216,3.82E-05,0.003473813,0.000267216,0.000534433,0.000267216,1,0.590510002,0.571499466
